team_id,team_name,country,academic
4122,Loki,,0
4126,Omega,,0
4134,Maven,IN,0
4135,RedQueen,JP,0
4138,SkullSpace,CA,0
4140,ASIS,IR,1
4141,hack.ERS,NL,0
4149,pycured,CH,0
4151,mushd00m,FR,0
4153,dul.ac,CH,0
4155,HacKazaar,CH,0
4160,pLanETS,CA,0
4163,HACKuna Matata,CA,0
4166,PolyHack,CA,0
4167,thinker^or^die,,0
4173,Goats,CA,0
4175,Zero Day,US,0
4176,DNO,RU,0
4183,Hexcellents,RO,0
4190,team name,,0
4191,torikabuto,,0
4198,pants,,0
4200,10111,,0
4207,Hallow,,0
4210,Game Over,,0
4221,pluto,,0
4235,BufferOverflow,,0
4238,kenny,,0
4242,hide,,0
4243,XOR,CN,1
4249,dotdotdot,,0
4251,Hash,,0
4252,sh3ll,,0
4256,someguy,,0
4257,freepalestine,,0
4261,HackThemAll,,0
4263,zoc,,0
4270,Little Narwhals,,0
4278,RedTeam,,0
4279,noteamhere,,0
4281,AER,,0
4288,empty,,0
4289,UNIFOX,,0
4290,hacktheplanet,,0
4292,Sandbox,RU,0
4293,qweqwe,,0
4298,ps,,0
4305,Noob,IR,0
4309,Amin,,0
4310,D34DC0D3,,0
4322,Nightingale,IR,0
4337,nima,,0
4343,hithere,,0
4350,empoly,IR,0
4351,rwx,RU,0
4352,nightworker,FR,0
4353,SESI,MN,0
4354,Abr1k0s,RU,0
4357,Yoda,IM,1
4358,1ns1ght,RU,0
4359,milhouse,HU,0
4360,Wolfentron,,0
4366,just4funand2learn,VN,0
4370,PUMA,,0
4374,cy,,0
4375,bugnotfound,,0
4379,test2,,0
4390,PizzaEaters,BR,0
4391,BERKE1337,,0
4397,Crypto Knights,RU,0
4398,WAT,,0
4399,slipper,CN,0
4400,US,,0
4402,KoiBastard,RU,0
4404,BitK,,0
4407,Fantastic Four,,0
4409,9871,,0
4413,4tochka,,0
4414,respina,IR,0
