team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
7615,9,2014,2020,7,51,0,0
7616,71,2014,2026,13,53,0,0
7622,22,2014,2014,1,32,0,1
7623,6,2014,2018,5,182,0,0
7624,6,2015,2024,10,65,0,0
7627,3,2014,2024,11,192,0,0
7628,10,2014,2024,11,73,0,0
7630,58,2014,2016,3,14,0,7
7632,13,2014,2017,4,56,0,0
7633,14,2014,2019,6,49,0,1
7634,14,2014,2019,6,127,0,0
7640,31,2014,2018,5,13,0,6
7694,247,2014,2026,13,4,4,39
7698,29,2014,2025,12,43,0,1
7733,37,2014,2020,7,171,0,0
7764,17,2014,2023,10,2,1,1
7773,12,2015,2025,11,122,0,0
7774,5,2014,2023,10,176,0,0
7778,3,2014,2014,1,92,0,0
7790,12,2014,2025,12,37,0,1
7791,54,2014,2022,9,5,2,20
7796,11,2014,2022,9,22,0,2
7799,9,2014,2016,3,109,0,0
7814,68,2014,2021,8,5,1,8
7863,27,2014,2026,13,18,0,1
7867,6,2014,2015,2,51,0,0
7893,327,2014,2025,12,14,0,19
7895,13,2015,2024,10,3,2,2
7906,66,2014,2026,13,13,0,4
7909,7,2014,2020,7,104,0,0
7910,19,2020,2026,7,108,0,0
7911,5,2016,2026,11,80,0,0
7914,72,2015,2026,12,12,0,11
7916,14,2014,2025,12,15,0,6
7918,21,2014,2023,10,35,0,1
7927,3,2014,2025,12,760,0,0
7930,4,2014,2014,1,4,1,3
7931,63,2014,2019,6,1,19,36
7934,19,2014,2018,5,27,0,2
7938,4,2014,2014,1,85,0,0
7981,21,2014,2017,4,46,0,1
7984,8,2014,2026,13,145,0,0
7985,8,2014,2015,2,45,0,1
7988,26,2014,2025,12,12,0,2
7989,2,2021,2023,3,113,0,0
7991,11,2014,2021,8,93,0,0
7992,19,2014,2025,12,29,0,2
7993,69,2014,2018,5,5,1,3
8000,7,2014,2016,3,11,0,3
8001,10,2014,2026,13,3,1,9
8008,5,2015,2018,4,75,0,0
8009,9,2014,2019,6,247,0,0
8067,11,2014,2025,12,99,0,0
8093,13,2019,2024,6,181,0,0
8096,49,2014,2020,7,22,0,6
8106,5,2014,2017,4,20,0,2
8115,91,2014,2026,13,3,1,18
8116,34,2014,2026,13,3,2,5
8133,54,2021,2026,6,48,0,1
8163,30,2019,2025,7,9,1,8
8165,27,2016,2026,11,7,1,3
8169,4,2016,2024,9,286,0,0
8188,6,2014,2026,13,161,0,0
8192,49,2014,2026,13,14,0,4
8201,10,2014,2024,11,146,0,0
8202,72,2014,2026,13,37,0,1
8206,8,2014,2025,12,99,0,0
8207,8,2014,2021,8,186,0,0
8209,5,2014,2021,8,367,0,0
8210,59,2014,2025,12,2,1,11
8211,123,2014,2026,13,1,13,62
8212,6,2014,2017,4,135,0,0
8215,22,2014,2015,2,62,0,0
8220,3,2014,2015,2,101,0,0
8241,406,2014,2025,12,1,46,177
8278,9,2014,2018,5,63,0,0
8293,10,2014,2015,2,81,0,0
8295,11,2014,2017,4,54,0,0
8297,33,2014,2017,4,35,0,3
8299,34,2014,2018,5,1,27,32
8317,13,2014,2016,3,77,0,0
8323,257,2014,2026,13,1,36,145
8342,7,2014,2018,5,80,0,0
8360,8,2014,2023,10,86,0,0
8381,131,2014,2025,12,36,0,3
8383,17,2014,2016,3,24,0,1
8406,91,2014,2024,11,2,3,11
8407,35,2014,2024,11,26,0,2
8431,1,2014,2014,1,403,0,0
8455,11,2014,2017,4,163,0,0
8485,75,2014,2026,13,43,0,1
8507,24,2014,2017,4,52,0,0
8583,19,2014,2025,12,17,0,2
8667,6,2014,2024,11,4,2,3
8682,100,2014,2026,13,9,2,14
8703,11,2014,2026,13,49,0,1
8728,2,2014,2014,1,303,0,0
8729,12,2014,2026,13,27,0,2
8736,18,2014,2017,4,17,0,2
8737,92,2014,2025,12,12,0,36
8739,5,2014,2024,11,32,0,1
8740,1,2018,2018,1,483,0,0
